Sample,Group
SRR2141790,Qatari
SRR2130736,Qatari
SRR2125408,Qatari
SRR2130805,Qatari
SRR2969868,Middle East
SRR2969736,Middle East
SRR2125283,Qatari
SRR2130515,Qatari
SRR2130764,Qatari
SRR2130682,Qatari
SRR2130470,Qatari
SRR2969707,Qatari
SRR2141717,Qatari
SRR2141781,Qatari
SRR2130708,Qatari
SRR2969699,Qatari
SRR2969871,East Asia
SRR2130704,Qatari
SRR2130554,Qatari
SRR2130516,Qatari
SRR2969737,Middle East
SRR2130971,Qatari
SRR2125436,Qatari
SRR2969622,Qatari
SRR2969793,South Asia
SRR2969814,Middle East
SRR2130500,Qatari
SRR2130661,Qatari
SRR2130769,Qatari
SRR2130580,Qatari
SRR2130430,Qatari
SRR2130511,Qatari
SRR2130453,Qatari
SRR2969741,Middle East
SRR2141725,Qatari
SRR2125250,Qatari
SRR2969634,Qatari
SRR2969961,Middle East
SRR2130651,Qatari
SRR2130419,Qatari
SRR2969899,Middle East
SRR2130645,Qatari
SRR2130910,Qatari
SRR2130643,Qatari
SRR2125420,Qatari
SRR2125343,Qatari
SRR2141744,Qatari
SRR2130551,Qatari
SRR2130911,Qatari
SRR2130696,Qatari
SRR2969820,South Asia
SRR2130627,Qatari
SRR2969925,Middle East
SRR2130799,Qatari
SRR2130946,Qatari
SRR2125367,Qatari
SRR2130732,Qatari
SRR2125339,Qatari
SRR2141735,Qatari
SRR2969680,Qatari
SRR2969964,East Asia
SRR2125424,Qatari
SRR2969853,Middle East
SRR2969683,Qatari
SRR2130530,Qatari
SRR2130552,Qatari
SRR2969771,Africa
SRR2130783,Qatari
SRR2130925,Qatari
SRR2130592,Qatari
SRR2130949,Qatari
SRR2969694,Qatari
SRR2130404,Qatari
SRR2969759,South Asia
SRR2125374,Qatari
SRR2130403,Qatari
SRR2969849,Middle East
SRR2125321,Qatari
SRR2130646,Qatari
SRR2130648,Qatari
SRR2130939,Qatari
SRR2125382,Qatari
SRR2130755,Qatari
SRR2130717,Qatari
SRR2130520,Qatari
SRR2969723,South Asia
SRR2125395,Qatari
SRR2125378,Qatari
SRR2130917,Qatari
SRR2969609,Qatari
SRR2969834,South Asia
SRR2130958,Qatari
SRR2125300,Qatari
SRR2130618,Qatari
SRR2969848,Middle East
SRR2130862,Qatari
SRR2125286,Qatari
SRR2141791,Qatari
SRR2130366,Qatari
SRR2969846,Middle East
SRR2969938,Middle East
SRR2969942,Qatari
SRR2130496,Qatari
SRR2130425,Qatari
SRR2969676,Qatari
SRR2130866,Qatari
SRR2130478,Qatari
SRR2969708,Qatari
SRR2969748,Middle East
